[WARN] 2015-01-16 11:40:24.227	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.227	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/order/paysucc.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/order/paysucc.js"]
[INFO] 2015-01-16 11:40:24.227	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/profile/address.edit.ftl
[WARN] 2015-01-16 11:40:24.227	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.227	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/profile/address.edit.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/profile/address.edit.js"]
[INFO] 2015-01-16 11:40:24.237	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/profile/address.ftl
[WARN] 2015-01-16 11:40:24.237	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.237	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/profile/address.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/profile/address.js"]
[INFO] 2015-01-16 11:40:24.237	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/profile/focus.ftl
[WARN] 2015-01-16 11:40:24.247	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.247	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/profile/focus.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/profile/focus.js"]
[INFO] 2015-01-16 11:40:24.247	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/profile/index.ftl
[WARN] 2015-01-16 11:40:24.247	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.247	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/profile/index.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/index.js"]
[INFO] 2015-01-16 11:40:24.257	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/schedule/forbidden.ftl
[WARN] 2015-01-16 11:40:24.257	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.257	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/schedule/forbidden.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/schedule/forbidden.js"]
[INFO] 2015-01-16 11:40:24.257	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/schedule/mock.ftl
[DBUG] 2015-01-16 11:40:24.257	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/schedule/mock.ftl -> undefined
[INFO] 2015-01-16 11:40:24.257	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/schedule/over.ftl
